session;Raw_Cluster;Macro_Cluster;k_aircraft;k_operator;k_mission
3154791;37;Cluster 1 (Majeur A);46896;20;-2
3154851;39;Cluster 2 (Majeur B);48109;20;-2
3154852;39;Cluster 2 (Majeur B);52254;298;1
3154853;39;Cluster 2 (Majeur B);52254;298;1
3154891;39;Cluster 2 (Majeur B);52255;298;1
3154892;39;Cluster 2 (Majeur B);50378;277;3
3154932;37;Cluster 1 (Majeur A);54809;394;1
3154960;37;Cluster 1 (Majeur A);46829;3;1
3154962;39;Cluster 2 (Majeur B);46874;10;1
3154963;39;Cluster 2 (Majeur B);52521;10;1
3154967;37;Cluster 1 (Majeur A);52254;298;1
3155007;37;Cluster 1 (Majeur A);50826;3;1
